asset_id,asset_type,asset_lat,asset_lon,sf_site_id,sf_lat,sf_lon,distance_m,confidence_tier,review_flag,sf_stage,sf_street
a0ZVF000003VmQl2AK,,34.016228,-117.331342,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmQs2AK,,39.837305,-89.506139,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmQv2AK,,40.5205,-111.930778,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmUs2AK,,27.79286,-82.66532,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmUz2AK,,27.85973,-82.65091,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmV02AK,,27.791836,-82.7332,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmV12AK,,27.821227,-82.662797,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmV22AK,,27.855917,-82.658333,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmV32AK,,27.7902,-82.7284,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmV82AK,,37.559514,-76.626,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmVA2A0,,37.50942,-77.23966,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmVG2A0,,37.2737,-76.7022,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmVg2AK,,44.034592,-88.0101,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmW22AK,,21.313264,-158.009917,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmW32AK,,40.002056,-91.71525,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmW52AK,,39.337393,-94.225752,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmW72AK,,39.364167,-94.229,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmWD2A0,,40.024583,-75.647684,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmWE2A0,,40.029167,-75.63,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vn362AC,,33.845833,-117.8669,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vn3D2AS,,33.825651,-117.890212,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vn3H2AS,,33.769088,-84.365398,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vn3S2AS,,33.731666,-84.413611,,,,,NO_MATCH,FALSE,,
