id,address,label,input_confidence
dc_250,"20 MASSACHUSETTS AVE NW, WASHINGTON, DC 20001",DC,high
dc_251,"20 Q ST NW, WASHINGTON, DC 20001",DC,high
dc_252,"2000 CONNECTICUT AVE NW, WASHINGTON, DC 20008",DC,high
dc_253,"2000 M ST NW, WASHINGTON, DC 20036",DC,high
dc_254,"2000 N ST NW, WASHINGTON, DC 20036",DC,high
dc_255,"2000 S ST NW ROOF, WASHINGTON, DC 20009",DC,high
dc_256,"2001 15TH ST NW, WASHINGTON, DC 20009",DC,high
dc_257,"2001 S ST NW, WASHINGTON, DC 20009",DC,high
dc_258,"2001 WISCONSIN AVE NW, WASHINGTON, DC 20007",DC,high
dc_259,"201 EAST CAPITOL ST SE, WASHINGTON, DC 20003",DC,high
dc_260,"2055 L ST NW, WASHINGTON, DC 20036",DC,high
dc_261,"206 BEACON PL NE, WASHINGTON, DC 20011",DC,high
dc_262,"2100 CONNECTICUT AVE NW, WASHINGTON, DC 20008",DC,high
dc_263,"2100 MARTIN LUTHER KING JR AVE SE, WASHINGTON, DC 20020",DC,high
dc_264,"2101 MARTIN LUTHER KING JR AVE SE, WASHINGTON, DC 20020",DC,high
dc_265,"2101 WISCONSIN AVE NW, WASHINGTON, DC 20007",DC,high
dc_266,"2112 F ST NW 000P1, WASHINGTON, DC 20037",DC,high
dc_267,"2120 P ST NW, WASHINGTON, DC 20037",DC,high
dc_268,"2121 K ST NW, WASHINGTON, DC 20037",DC,high
dc_269,"2121 P ST NW, WASHINGTON, DC 20037",DC,high
dc_270,"2125 4TH ST NW, WASHINGTON, DC 20001",DC,high
dc_271,"2127 CALIFORNIA ST NW 00101, WASHINGTON, DC 20008",DC,high
dc_272,"2149 FLORIDA AVE NW, WASHINGTON, DC 20008",DC,high
dc_273,"2175 K ST NW, WASHINGTON, DC 20037",DC,high
dc_274,"22 FLORIDA AVE NW, WASHINGTON, DC 20001",DC,high
dc_275,"220 TAYLOR ST NE, WASHINGTON, DC 20017",DC,high
dc_276,"2200 1ST ST NW, WASHINGTON, DC 20001",DC,high
dc_277,"2200 MINNESOTA AVE SE, WASHINGTON, DC 20020",DC,high
dc_278,"2200 PENNSYLVANIA AVE NW, WASHINGTON, DC 20037",DC,high
dc_279,"2201 G ST NW, WASHINGTON, DC 20037",DC,high
dc_280,"2202 14TH ST NW, WASHINGTON, DC 20009",DC,high
dc_281,"2205 ALABAMA AVE SE, WASHINGTON, DC 20020",DC,high
dc_282,"2210 BLADENSBURG RD NE, WASHINGTON, DC 20018",DC,high
dc_283,"222 M ST SW, WASHINGTON, DC 20024",DC,high
dc_284,"2220 36TH ST SE, WASHINGTON, DC 20020",DC,high
dc_285,"2220 BRANCH AVE SE, WASHINGTON, DC 20020",DC,high
dc_286,2225 4TH ST NW,DC,medium
dc_287,"2225 CALIFORNIA ST NW, WASHINGTON, DC 20008",DC,high
dc_288,"2229 4TH ST NW, WASHINGTON, DC 20059",DC,high
dc_289,"223 7TH ST NE, WASHINGTON, DC 20002",DC,high
dc_290,"2233 WISCONSIN AVE NW, WASHINGTON, DC 20007",DC,high
dc_291,"225 33RD ST SE, WASHINGTON, DC 20019",DC,high
dc_292,"225 7TH ST SE, WASHINGTON, DC 20003",DC,high
dc_293,"2251 SHERMAN AVE NW, WASHINGTON, DC 20001",DC,high
dc_294,"227 TINGEY ST SE, WASHINGTON, DC 20003",DC,high
dc_295,"2300 - 2330 GOOD HOPE RD SE, WASHINGTON, DC 20020",DC,high
dc_296,"2300 - 2330 M ST NW, WASHINGTON, DC 20037",DC,high
dc_297,"2300 4TH ST NW, WASHINGTON, DC 20059",DC,high
dc_298,"2300 GOOD HOPE RD SE, WASHINGTON, DC 20020",DC,high
dc_299,"2300 I ST NW, WASHINGTON, DC 20052",DC,high
dc_300,"2300 WASHINGTON PL NE, STE# 107S, WASHINGTON, DC 20018",DC,high
dc_301,"2301 M ST NW LEVEL 2, WASHINGTON, DC 20037",DC,high
dc_302,"2303 14TH ST NW, WASHINGTON, DC 20009",DC,high
dc_303,"2304 41ST ST NW, WASHINGTON, DC 20007",DC,high
dc_304,"2312 PITTS PL SE 1, WASHINGTON, DC 20020",DC,high
dc_305,"2330 GOOD HOPE RD SE, WASHINGTON, DC 20020",DC,high
dc_306,"2400 EAST CAPITOL ST NE, WASHINGTON, DC 20003",DC,high
dc_307,"2400 EAST CAPITOL ST SE, WASHINGTON, DC 20003",DC,high
dc_308,"2400 VIRGINIA AVE NW, WASHINGTON, DC 20037",DC,high
dc_309,"2407 15TH ST NW, WASHINGTON, DC 20009",DC,high
dc_310,"2422 25TH ST SE, WASHINGTON, DC 20020",DC,high
dc_311,"2425 IRVING ST SE, WASHINGTON, DC 20020",DC,high
dc_312,"2428 WISCONSIN AVE NW, WASHINGTON, DC 20007",DC,high
dc_313,"2440 VIRGINIA AVE NW, WASHINGTON, DC",DC,medium
dc_314,"2466 TUNLAW RD NW, WASHINGTON, DC 20007",DC,high
dc_315,"2475 VIRGINIA AVE NW, WASHINGTON, DC 20037",DC,high
dc_316,"2480 16TH ST NW, WASHINGTON, DC 20009",DC,high
dc_317,"25 MASSACHUSETTS AVE NW 100, WASHINGTON, DC 20001",DC,high
dc_318,"250 K ST NE, WASHINGTON, DC 20002",DC,high
dc_319,"2500 BENNING RD NE, WASHINGTON, DC 20002",DC,high
dc_320,"2500 MASSACHUSETTS AVE NW, WASHINGTON, DC 20008",DC,high
dc_321,"2501 25TH ST SE, WASHINGTON, DC 20020",DC,high
dc_322,"2501 PENNSYLVANIA AVE SE, WASHINGTON, DC 20020",DC,high
dc_323,"2550 M ST NW, WASHINGTON, DC 20037",DC,high
dc_324,"2600 BENNING RD NE, WASHINGTON, DC 20002",DC,high
dc_325,"2600 DOUGLAS PL SE, WASHINGTON, DC 20020",DC,high
dc_326,"2600 DOUGLASS PL SE, WASHINGTON, DC 20020",DC,high
dc_327,2600 DOUGLASS RD SE,DC,medium
dc_328,"2600 VIRGINIA AVE NW, WASHINGTON, DC 20037",DC,high
dc_329,"2601 VIRGINIA AVE NW, WASHINGTON, DC 20037",DC,high
dc_330,"261 17TH ST SE, WASHINGTON, DC 20003",DC,high
dc_331,"2620 DOUGLAS RD SE, WASHINGTON, DC",DC,medium
dc_332,"264 MISSOURI AVE NW, WASHINGTON, DC 20011",DC,high
dc_333,"2651 BENNING RD NE, WASHINGTON, DC 20002",DC,high
dc_334,"2652 MARTIN LUTHER KING JR AVE SE 100, WASHINGTON, DC 20020",DC,high
dc_335,"2660 WOODLEY RD NW, WASHINGTON, DC 20008",DC,high
dc_336,"2690 DUNBAR RD SE, WASHINGTON, DC 20020",DC,high
dc_337,"2700 CONNECTICUT AVE NW, WASHINGTON, DC 20008",DC,high
dc_338,"2700 MARTIN LUTHER KING JR AVE SE, WASHINGTON, DC 20032",DC,high
dc_339,"2701 NAYLOR RD SE, WASHINGTON, DC 20020",DC,high
dc_340,"2706 BLADENSBURG RD NE, WASHINGTON, DC 20018",DC,high
dc_341,"2708 VIRGINIA AVE NW, WASHINGTON, DC 20037",DC,high
dc_342,"2715 M ST NW C1, WASHINGTON, DC 20007",DC,high
dc_343,"2720 WISCONSIN AVE NW, WASHINGTON, DC",DC,medium
dc_344,"2725 13TH ST NW, WASHINGTON, DC 20009",DC,high
dc_345,"2745 NAYLOR RD SE, WASHINGTON, DC 20020",DC,high
dc_346,"2800 12TH ST NE, WASHINGTON, DC 20017",DC,high
dc_347,"2800 WISCONSIN AVE NW 000G1, WASHINGTON, DC 20007",DC,high
dc_348,"2801 UPTON ST NW, WASHINGTON, DC",DC,medium
dc_349,"2803 ARIZONA TER NW, WASHINGTON, DC 20016",DC,high
dc_350,"2807 DOHERTY DR SW, WASHINGTON, DC 20373",DC,high
dc_351,"2828 CONNECTICUT AVE NW, WASHINGTON, DC 20008",DC,high
dc_352,"2844 WISCONSIN AVE NW, WASHINGTON, DC 20007",DC,high
dc_353,"2850 DOUGLAS PL SE, WASHINGTON, DC 20020",DC,high
dc_354,"2900 ADAMS MILL RD NW, WASHINGTON, DC 20009",DC,high
